lad_code,gp_access,experience,borough,imd_score
E09000002,0.32242818374285714,0.3564151814285714,Barking and Dagenham,32.768
E09000003,0.32174591940425534,0.3681112465531915,Barnet,16.148
E09000004,0.3550023134285714,0.4048725404761904,Bexley,16.273
E09000005,0.37501024000000005,0.4171855860727273,Brent,25.558
E09000006,0.3666503608095238,0.40034418380952386,Bromley,14.163
E09000007,0.4711078472903226,0.4959425816129032,Camden,20.131
E09000008,-1.6963777085652176,-1.6445931504130433,Croydon,22.477
E09000009,0.37634184127142856,0.4163297936,Ealing,22.71
E09000010,0.3554416380666667,0.38879643903333333,Enfield,25.781
E09000011,-2.889828154333333,-2.844030169033333,Greenwich,24.464
E09000012,0.46789016197297295,0.49484156348648645,Hackney,32.526
E09000013,0.4217899165,0.45196966410714284,Hammersmith and Fulham,22.27
E09000014,0.3979440154848485,0.4232850845151515,Haringey,27.956
E09000015,0.40121979639285715,0.43169731167857145,Harrow,15.031
E09000016,0.4054198938611111,0.4453001005,Havering,16.789
E09000017,0.37808189945454546,0.40827420729545455,Hillingdon,18.223
E09000018,0.3934621976428571,0.43630395497619046,Hounslow,21.487
E09000019,0.42481964165625,0.44202089653125,Islington,27.535
E09000020,0.5285394963225806,0.5389315331935484,Kensington and Chelsea,21.526
E09000021,0.452149560368421,0.49269633984210526,Kingston upon Thames,11.381
E09000022,0.43477012437499996,0.4811265509,Lambeth,25.422
E09000023,0.3794106564137931,0.4151174548965517,Lewisham,26.661
E09000024,0.4070565961818182,0.4538413645909091,Merton,14.649
E09000025,0.3343007437317073,0.37961512197560976,Newham,29.577
E09000026,0.321873306575,0.386532677425,Redbridge,17.203
E09000027,0.5018437411851852,0.5344678838888889,Richmond upon Thames,9.425
E09000028,0.3964641073125,0.43160401078125,Southwark,25.811
E09000029,0.4215576007142857,0.4583830579047619,Sutton,13.987
E09000030,0.31244611926666666,0.3440317133333333,Tower Hamlets,27.913
E09000031,0.36365851946153843,0.38730000625641026,Waltham Forest,25.209
E09000032,-2.167829791135135,-2.1341710217567567,Wandsworth,16.611
E09000033,0.48119959199999995,0.4853510963243243,Westminster,20.339
